No. tar.,No.,Tema, ,Opción A,Opción B,Opción C
,,,,,,
,,,,,,
T001,1,México,¿Qué aniversario de la consumación de nuestra independencia se celebró en 2021?,500,200 *,300
,,,,,,
T001,2,Historia Universal,"Dirigió la Gestapo, Los camisas negras de la SS, los campos de concentración y elexterminio de los judíos, nada menos que...",Klaus Barbie,Gregor Strasser,Heinrich Himmler *
,,,,,,
T001,3,Geografía Universal,El ecuador es el paralelo número....,Cero *,Uno,Dos
,,,,,,
,,,,,,
T001,4,"Artes, Deportes y Entretenimientos","¿Qué ciudad celebró los juegos Panamericanos de 2019, en los que México tuvo una destacada participación ?",Lima *,Montevideo,Bogotá
,,,,,,
,,,,,,
T001,5,Ciencias y Tecnología,"Conmocionó al mundo del siglo XIX, principalmente al católico, al afirmar que todo el reino animal desciende de un tronco común...",Thomas Roberto Malthus,Charles Darwin *,Louis Pasteur
,,,,,,
,,,,,,
,,,,,,
T001,6,Cultura General,"California se separó de México en 1848. ¿En qué año se inició ahí mismp la fiebre del oro, que desquició a todo el mundo?",1869,1849 *,1859
,,,,,,
,,,,,,
,,,,,,
T002,1,México,"¿Qué fue lo primero que prohibió PorfirioDíaz cuando accedió por primera vez a la presidencia, tras un golpe de estado?",La reelección presidencial *,Los juegos de azar,La libertad de cultos
,,,,,,
,,,,,,
,,,,,,
T002,2,Historia Universal,"¿Qué territorio de Norteamerica tenía una superficie de 2'144,476 Kms. /2 y hoy solo es un estado de 134,000Kms /2?",Texas,luisiana *,Florida
,,,,,,
,,,,,,
,,,,,,
T002,3,Geografía Universal,"La Republica de Moldavia es pequeña y poco poblada, pero está en el mapa. ¿De qué país formó parte hasta 1991?",Hungría,URSS *,Yugoslavia
,,,,,,
,,,,,,
T002,4,"Artes, Deportes y Entretenimientos",¿Qué jugador croata recibió el Balón de Oro en la Copa del Mundo en 2018?,Antoine Griezmann,Luka Modríc *,Dejan Lovren
,,,,,,
,,,,,,
,,,,,,
T002,5,Ciencias y Tecnología,"Hay mamíferos que miden hasta 30 metros como la ballena, y otros de apenas 5 centímetros como...",El Hurón,La Musaraña *,La Salamandra
,,,,,,
T002,6,Cultura General,¿Con qué nombre ejerció su pontificado el italiano Eugenio Pacelli de 1939 a 1958?,Juan XXIII,Paulo VI,Pio XII *
,,,,,,
,,,,,,
,,,,,,
,,,,,,
T003,1,México,¿Como se llama la bella chihuahuense que ganó el concurso de Miss Universo 2021 cuando más lo necesitábamos ?,Amelia Vega,Andrea Meza *,Alicia Martínez
,,,,,,
,,,,,,
,,,,,,
T003,2,Historia Universal,"¿Qué país ayudó en un tiempo con armas o en alguna otra forma a Osama Bin  Laden, Saddam Hussein y Muammar Gadafi ?",Rusia,Francia,Estados Unidos *
,,,,,,
,,,,,,
T003,3,Geografía Universal,"¿Cómo se llama el lago mas grande de Europa, que en verano se puede transitar en barco y en invierno en camión?",Como,Ladoga *,Lucerna
,,,,,,
,,,,,,
T003,4,"Artes, Deportes y Entretenimientos",¿Cuál de estas películas ganó el Oscar como la mejor del 2020?,Minari,Mank,Nomadland *
,,,,,,
,,,,,,
